created_at,screen_name,text,target
Fri Feb 05 13:01:21 +0000 2016,kanikagoyal007,RT @bmwindia: The young generation loves them too! #FutureOfLuxury #AutoExpo2016 ,Others
Fri Feb 05 13:01:23 +0000 2016,ElectrifyingWWE,RT @bmwindia: The young generation loves them too! #FutureOfLuxury #AutoExpo2016 ,Others
Fri Feb 05 13:01:45 +0000 2016,JakariaAlam95,RT @AnilKapoor: Good friends &amp; great cars... Not a bad way to spend the day! #AutoExpo2016 @Maruti_Corp @rajcheerfull #24IndiaS2 .…,Automobile
Fri Feb 05 13:01:48 +0000 2016,raitishnik,Hyundai ???????? ?????????? ???????-????????? Carlino - ???????? Hyundai Motor ?? ???????? Auto Expo 2016 ?????... ,Others
Fri Feb 05 13:01:55 +0000 2016,me_palash,Check @DatsunIndia brings an exciting mix of products and breakthrough concepts at the #DatsunPavilion #AETMS2016 ,Technology
Fri Feb 05 13:02:01 +0000 2016,kp_85,"#AllNewBMWX1 has caught everyone's attention at #AutoExpo2016 
For updates check here &gt;&gt;&gt; ",Others
Fri Feb 05 13:02:06 +0000 2016,bk3192,"@bmwindia  latest trending car, running now in india #AutoExpo2016  #AllNewBMWX1 
Check the latest updates guys- ",Automobile
Fri Feb 05 13:02:09 +0000 2016,ranbirkapoors,RT @HeroMotoCorp: The anti-gravity booth at #HeroAutoExpo seems to be liked by many including #Ranbir . Check him out. #AutoExpo2016 https:…,Advertisement
Fri Feb 05 13:02:11 +0000 2016,jcdiva1,Dream like big and Say YES to @DatsunIndia. Visit the #DatsunPavilion in #AutoExpo2016. ,Advertisement
Fri Feb 05 13:02:11 +0000 2016,Automotive_Live,"#Hyundaii20 Unveiled - #AutoExpo2016
#i20
 #DelhiAutoExpo2016 #AutoExpo2016 #LatestCars ",Automobile
Fri Feb 05 13:02:11 +0000 2016,pietvM1,RT @RenaultIndia: Have a look at the new #RenaultDUSTER &amp; a host of other #Renault cars at the #AutoExpo2016 from the 5-9th Feb. #RenaultAt…,Advertisement
Fri Feb 05 13:02:17 +0000 2016,shiba_ryu04,RT @ASIMO: So happy to have met Nihal at #AutoExpo2016! Thank you so much for coming and making OUR day. @TeamNihal   ,Entertainment
Fri Feb 05 13:02:27 +0000 2016,Siddhantbarik1,"For all automobile enthusiasts,Day 1 peak in Delhi o@DatsunIndia 's #DatsunPavilion at the #AETMS2016 ",Advertisement
Fri Feb 05 13:02:34 +0000 2016,NehaYagnik,The GO-Cross Concept looks complete by large five-spoke alloy wheels &amp; distinctive LED lights at the front &amp; rear #DatsunPavilion #AETMS2016,Technology
Fri Feb 05 13:02:36 +0000 2016,pagalparrot,Its a beast !!! #AutoExpo2016 ,Others
Fri Feb 05 13:02:46 +0000 2016,DiaryRozaana,Auto Expo 2016 (Press Preview)  on @bloglovin,Others
Fri Feb 05 13:02:51 +0000 2016,roshanshetty1,Its time to say yes to future  #DatsunPavilion at delhi #AutoExpo2016 #AETMS2016 @DatsunIndia,Technology
Fri Feb 05 13:02:52 +0000 2016,ContestBaba,"I in love with Go Cross fluid character lines on the back. Its good #DatsunPavilion #AETMS2016
@DatsunIndia
",Automobile
Fri Feb 05 13:03:17 +0000 2016,NexaExperience,RT @kubrasait: That's the @NexaExperience coming to the forefront with @AnilKapoor @rajcheerfull #Kalsi @AutoExpo2016 ,Others
Fri Feb 05 13:03:17 +0000 2016,csbhakuni,RT @bmwindia: The young generation loves them too! #FutureOfLuxury #AutoExpo2016 ,Others
Fri Feb 05 13:03:17 +0000 2016,theerailivedin,"I say YES to heritage. 
I Say YES to the future. 
I Say YES to @DatsunIndia 
Do you?
 #DatsunPavilion #AETMS2016",Others
Fri Feb 05 13:03:21 +0000 2016,Siddhantbarik1,"RT @PriyancaBajaj: @Ravinaa_ @DatsunIndia is it really the improvised version of 1970s car?  
#DatsunPavilion #AETMS…",Automobile
Fri Feb 05 13:03:23 +0000 2016,ns_verma,Have a look at the #DatsunPavilion to Follow @DatsunIndia for updates live from #AutoExpo2016  …,Advertisement
Fri Feb 05 13:03:25 +0000 2016,ShahidKaaFan,"RT @Trendulkar: For all automobile enthusiasts, here's a peak into Day 1 of @DatsunIndia 's #DatsunPavilion at the #AETMS2016 ",Advertisement
Fri Feb 05 13:03:29 +0000 2016,ShahidKaaFan,RT @TheSambitsamal: Here's a peak of how the first day at the #DatsunPavilion went...? @DatsunIndia  #AETMS2016 ,Others
Fri Feb 05 13:03:40 +0000 2016,kaur_crazy,RT @AutoExpo2016: Checked out the @DatsunIndia GO-CROSS display at #DatsunPavilion Hall 11 at #AETMS16? ,Advertisement
Fri Feb 05 13:03:44 +0000 2016,Nileshajage,"@AutoExpo2016 # Pls visit our stall,hall num-10,shop num-6,pragati maidan,delhi.(partap singh &amp; sons) To @AutoExpo2016",Advertisement
Fri Feb 05 13:03:48 +0000 2016,ns_verma,"@DatsunIndia  
Its for youth generation who believe in never giving up their dreams #DatsunPavilion #AutoExpo2016",Others
Fri Feb 05 13:03:49 +0000 2016,sshhhsania, Retweeted Its time to say yes to future  #DatsunPavilion at delhi #AutoExpo2016 #AETMS201… ,Technology
Fri Feb 05 13:03:53 +0000 2016,up_avi,RT @RenaultIndia: Have a look at the new #RenaultDUSTER &amp; a host of other #Renault cars at the #AutoExpo2016 from the 5-9th Feb. #RenaultAt…,Advertisement
Fri Feb 05 13:03:55 +0000 2016,jcdiva1,Dream like big and Say YES to @DatsunIndia. Visit the #DatsunPavilion in #AutoExpo2016. ,Advertisement
Fri Feb 05 13:04:10 +0000 2016,defendressofsan,Get w/ the program  #viral #news #GoldOutofHiding #FF #SB50 #SuperBowl #ShawnWorldTourOnsale #AutoExpo2016,Others
Fri Feb 05 13:04:11 +0000 2016,manoj_varun,"RT @IBNLiveTech: CNG motorcycle, redesigned Mumbai local, restyled Bajaj Chetak: @IITBombay at #AutoExpo2016  https:…",Automobile
Fri Feb 05 13:04:16 +0000 2016,ns_verma,Datsun has finally brought great GO Cross concept to India at the Auto Expo  #DatsunPavilion ,Technology
Fri Feb 05 13:04:21 +0000 2016,roshanshetty1,"Omg! Go Cross fluid character lines on the back. Its just great #DatsunPavilion #AETMS2016
@DatsunIndia
",Automobile
Fri Feb 05 13:04:23 +0000 2016,up_avi,"RT @carsbhp1: @RenaultIndia brings the New 
 Redefined Duster availble in 6 Speed Easy-R AMT automatic transmission 
@AutoExpo2016 https://…",Others
Fri Feb 05 13:04:27 +0000 2016,PariPranita2,The Panorama glass roof of #AllNewBMWX1 will change how you see the world above. Follow BMW Auto Expo updates on ,Technology
Fri Feb 05 13:04:30 +0000 2016,SunilMascarenh1,RT @AnilKapoor: Good friends &amp; great cars... Not a bad way to spend the day! #AutoExpo2016 @Maruti_Corp @rajcheerfull #24IndiaS2 .…,Automobile
Fri Feb 05 13:04:32 +0000 2016,ns_verma,Hello lovely people check out #DatsunPavilion ! Follow @DatsunIndia for updates live from the #AutoExpo2016 ,Advertisement
Fri Feb 05 13:04:33 +0000 2016,GuruSunadholi,"RT @carblogindia: #RenaultAtAutoExpo showcases Kwid 1.0 L with AMT 
@RenaultIndia @AutoExpo2016 #AutoExpo2016 https:…",Advertisement
Fri Feb 05 13:04:37 +0000 2016,kaur_crazy,Large five-spoke alloy wheels completes d look of the GO-Cross Concept. #DatsunPavilion #AETMS2016   @DatsunIndia,Technology
Fri Feb 05 13:04:45 +0000 2016,Hejaz_AM,"#Tatamotors is going viral.
#AutoExpo2016 ",Others
Fri Feb 05 13:04:47 +0000 2016,up_avi,"RT @dhruv992: #RenaultAtAutoExpo showcases Kwid 1.0 L with AMT 
@RenaultIndia @AutoExpo2016 #AutoExpo2016 .…",Advertisement
Fri Feb 05 13:04:49 +0000 2016,thefactilicious,"Past, Present and future of the cars @DatsunIndia at #DatsunPavilion #AETMS2016 ",Technology
Fri Feb 05 13:04:54 +0000 2016,drift_singh,"I'll let the images talk!
@AudiIN @PD_Official @AutoExpo2016 #audiprologue ",Others
Fri Feb 05 13:05:00 +0000 2016,Dot_Singh,"Visit the #DatsunPavilion at the Auto Expo 2016, Delhi to c d Group of cars being shwn there:  @DatsunIndia",Advertisement
Fri Feb 05 13:05:01 +0000 2016,ajayaksv,Watch out for #DatsunPavilion ! Follow @DatsunIndia for updates live from the #AutoExpo2016 ,Advertisement
Fri Feb 05 13:05:04 +0000 2016,gaadifix,Dubious about where to get your car fixed in case of a car breakdown? Download #GaadiFix –  #AutoExpo2016 #AETMS2016,Advertisement
Fri Feb 05 13:05:11 +0000 2016,casaddabakhtar,Auto expo 2016,Others
Fri Feb 05 13:05:16 +0000 2016,getitupforme,Honda CB Unicorn 150 returns – Auto Expo 2016 – Indian Autos Blog (blog) ,Automobile
Fri Feb 05 13:05:17 +0000 2016,iamvangy,RT @autocarindiamag: New @Toyota_India #Prius shown at @AutoExpo2016:  #AETMS16 ,Others
Fri Feb 05 13:05:25 +0000 2016,Manavparekh,"@bmwindia  latest trending car, running now in india #AutoExpo2016  #AllNewBMWX1 
Check the latest updates guys- ",Automobile
Fri Feb 05 13:05:33 +0000 2016,Zulaikha_Motors,RT @Vivek_Nayer: Look who came to admire the customised @Mahindra_Thar at our Auto Expo pavilion !   ? ,Entertainment
Fri Feb 05 13:05:33 +0000 2016,MrFukra,Visit the #DatsunPavilion #AETMS2016.  and Say YES to @DatsunIndia,Advertisement
Fri Feb 05 13:05:41 +0000 2016,AnantAdv,"RT @TimesNow: New Duster has bold front grille,  dual tone interiors, cruise control among other features #AutoExpo2016 ",Automobile
Fri Feb 05 13:05:44 +0000 2016,cp24co,RT @ReutersIndia: Mahindra &amp; Mahindra starts talks for Pininfarina-designed car  | By @aditishahsays and @sumeet_cha…,Automobile
Fri Feb 05 13:05:45 +0000 2016,premmalhotra783,RT @HeroMotoCorp: The anti-gravity booth at #HeroAutoExpo seems to be liked by many including #Ranbir . Check him out. #AutoExpo2016 https:…,Advertisement
Fri Feb 05 13:05:51 +0000 2016,PD_Official,RT @PressPlayTVapp: New Shark of the race track revealed #TVSAkula310! Watch it on #PressPlayTV #AutoExpo2016 @PD_Official @TVSMotor https:…,Advertisement
Fri Feb 05 13:05:56 +0000 2016,indiandrives,(Video) #RenaultKwid 1.0 L AMT #WalkAround - #AutoExpo2016 #DelhiAutoExpo2016 ,Technology
Fri Feb 05 13:05:57 +0000 2016,ShriBhivaskar,"RT @SoDelhi: Besides exclusive passes for the Auto Expo, we're also giving 5 Flipkart vouchers! Any takers? Join us today at 5PM! #FordAtAu…",Business
Fri Feb 05 13:05:58 +0000 2016,MylesCars,"RT @AutoExpo2016: Say hello to #ASIMO, the robotic wonder by @HondaCarIndia at Auto Expo - The Motor Show 2016! #AETMS16 ",Technology
Fri Feb 05 13:05:59 +0000 2016,ajayaksv,The Datsun GO-cross Concept debuting in India at the #DatsunPavilion at #AutoExpo2016 @DatsunIndia ,Technology
Fri Feb 05 13:06:04 +0000 2016,xzeynepx,RT @KatrinaKaifFB: Untagged Set 2 - Katrina Kaif at #JaguarXE Auto Expo 2016 ,Entertainment
Fri Feb 05 13:06:05 +0000 2016,InMyLifeeeeee,@trucks_dekho Love it! :D #AutoExpo2016 #TrucksAtExpo,Others
Fri Feb 05 13:06:08 +0000 2016,imjasrandhawa,RT @JohnAbrahamCLUB: #JohnAbraham at the launch of Yamaha MT-09 motorcycle at the Indian #AutoExpo2016 in Noida! @TheJohnAbraham .…,Automobile
Fri Feb 05 13:06:09 +0000 2016,ajayaksv,Want to know the happenings at the #DatsunPavilion on Day 1? Follow @DatsunIndia for updates live from #autoExpo2016 ,Advertisement
Fri Feb 05 13:06:10 +0000 2016,xzeynepx,RT @KatrinaKaifFB: Untagged Set 1 - Katrina Kaif at #JaguarXE Auto Expo 2016 ,Entertainment
Fri Feb 05 13:06:18 +0000 2016,Gtellez7Israel,"RT @MashableIndia: Inside the glittering world of India's biggest auto show, Auto Expo 2016: ",Advertisement
Fri Feb 05 13:06:20 +0000 2016,coool_kashish,RT @SoDelhi: #ContestAlert Join us today @ 5 PM &amp; get exclusive passes to be with the @FordIndia #FordMustang at @AutoExpo2016 #FordAtAutoE…,Advertisement
Fri Feb 05 13:06:20 +0000 2016,Midz13,RT @HeroMotoCorp: The anti-gravity booth at #HeroAutoExpo seems to be liked by many including #Ranbir . Check him out. #AutoExpo2016 https:…,Advertisement
Fri Feb 05 13:06:24 +0000 2016,abpanandatv,"#AutoExpo ????-? ??? ????????? ??? ????? ?? ?? ?????
 ",Others
Fri Feb 05 13:06:24 +0000 2016,akshaytendu,RT @PressPlayTVapp: New Shark of the race track revealed #TVSAkula310! Watch it on #PressPlayTV #AutoExpo2016 @PD_Official @TVSMotor https:…,Advertisement
Fri Feb 05 13:06:29 +0000 2016,priyasharma4211,GO-cross concept is designed 2 meet the needs &amp; preferences of new generation of drivers #DatsunPavilion #AETMS2016 ,Technology
Fri Feb 05 13:06:29 +0000 2016,biplabalm,Missing auto expo 2016,Others
Fri Feb 05 13:06:31 +0000 2016,lal_hingra,"RT @JLRIndia: Highlights of the JLR press conference &amp; launch of the All-New #JaguarXE at @AutoExpo2016. #ReadyToRule
",Advertisement
Fri Feb 05 13:06:32 +0000 2016,CincyAutoEx,"TICKET GIVEAWAY TIME! - Cincinnati Auto Expo

Enter to win:
1. Like this post &amp; the Cincinnati Auto Expo page.
2.... ",Business
Fri Feb 05 13:06:40 +0000 2016,news_in,Delhi Auto Expo: First look at Datsun's new concept car GO-cross: Datsun GO-cross Concept adds…  #til_now #news #DNA,Technology
Fri Feb 05 13:06:40 +0000 2016,AutoGyaan,Auto Expo 2016 : Maruti Unveiles Baleno RS Concept  ,Technology
Fri Feb 05 13:06:45 +0000 2016,isitray92,"RT @SoDelhi: Besides exclusive passes for the Auto Expo, we're also giving 5 Flipkart vouchers! Any takers? Join us today at 5PM! #FordAtAu…",Business
Fri Feb 05 13:06:49 +0000 2016,priyasharma4211,"GO-cross Concept is adding a sense of style, adventure &amp; fun to Datsun line-up @ the #DatsunPavilion #AETMS2016 ",Technology
Fri Feb 05 13:06:55 +0000 2016,next9news,Delhi Auto Expo 2016: ????? ???? ?? ?????? ??? ?? ??? ??? ???? ????…!!  ,Others
Fri Feb 05 13:06:56 +0000 2016,csbhakuni,"RT @absolutethinker: See how #DatsunPavilion is adding a sense of style, adventure, &amp; fun to the #AutoExpo2016 ",Entertainment
Fri Feb 05 13:06:58 +0000 2016,will_wick18,finally got auto expo 2016 pass,Business
Fri Feb 05 13:07:16 +0000 2016,GabbbarSingh,At the expo Datsun is launching this unique Go-cross concept.   #DatsunPavilion #AETMS2016 ,Technology
Fri Feb 05 13:07:19 +0000 2016,nisha_228,"RT @khabarbaazi: ??????? ??? ?? ????? ???? ???? ???? ???? ?? ??? ?????? ??? ???? ??? ?? ????, ????? ?? ???? ???????? ",Others
Fri Feb 05 13:07:21 +0000 2016,khalidrafiq141,Carmakers showcase future lineup at Auto Expo ,Advertisement
Fri Feb 05 13:07:21 +0000 2016,khalidrafiq141,Auto Expo Day 2: Futuristic cars steal the show ,Technology
Fri Feb 05 13:07:29 +0000 2016,priyasharma4211,"All you automobile enthusiasts, here's a peak into Day 1 of @DatsunIndia 's #DatsunPavilion at the #AETMS2016 Check ",Advertisement
Fri Feb 05 13:07:32 +0000 2016,ThatRanbirFan,RT @HeroMotoCorp: The anti-gravity booth at #HeroAutoExpo seems to be liked by many including #Ranbir . Check him out. #AutoExpo2016 https:…,Advertisement
Fri Feb 05 13:07:45 +0000 2016,kuldpvys,"RT @khabarbaazi: ??????? ??? ?? ????? ???? ???? ???? ???? ?? ??? ?????? ??? ???? ??? ?? ????, ????? ?? ???? ???????? ",Others
Fri Feb 05 13:07:48 +0000 2016,MylesCars,RT @sakshivij: Happy to see so many Mylers at #AutoExpo2016 #MylerAtExpo !! ,Automobile
Fri Feb 05 13:07:48 +0000 2016,msdmk7,#AutoExpo2016 ,Others
Fri Feb 05 13:07:50 +0000 2016,iftikarurrhman,#hondanaviworld door5 #testing #tagglabscafe @AutoExpo2016,Others
Fri Feb 05 13:07:51 +0000 2016,Mashaheeri,??????? ??? ????? ?????? ????? ??   via @Mashaheeri,Others
Fri Feb 05 13:07:52 +0000 2016,priyasharma4211,Time to enjoy the enriched features. @DatsunIndia believes in doing extraordinary things #DatsunPavilion #AETMS2016 ,Advertisement
Fri Feb 05 13:08:03 +0000 2016,illuminatiuv,Checkout #Team #IlluminatiUV #Transformers act mahindra #Mahindra pavilion #autoexpo2016 ,Automobile
Fri Feb 05 13:08:03 +0000 2016,Ckk1986,"#AllNewBMWX1 is the pivot of all attention at Auto Expo 2016
Check:  game changer @bmwindia ",Advertisement
Fri Feb 05 13:08:04 +0000 2016,MylesCars,RT @KamalahasanTN: @honda2wheelerin @AutoExpo2016 #AutoExpo2016 #AutoExpo #MylerAtExpo - @trialteamhrc #respolhonda #honda @HRC_MotoGP http…,Others
Fri Feb 05 13:08:04 +0000 2016,sandip217055,RT @ankitv: Whatta good looking stud...the Tata Nexon is ?#AutoExpo2016 #blogger #Gadgetwala #EPIC #ta…  …,Automobile
Fri Feb 05 13:08:06 +0000 2016,MylesCars,RT @burnyourfuel: @honda2wheelerin @AutoExpo2016 #AutoExpo2016 #AutoExpo #MylerAtExpo - @trialteamhrc #respolhonda #honda @HRC_MotoGP https…,Others
Fri Feb 05 13:08:10 +0000 2016,sagpriya1405,"RT @Sag_Mart: #Mahindra reveals all-electric e20 Sport at the #AutoExpo2016 . @ 
#AETMS2016 @AutoExpo2016 .…",Technology
Fri Feb 05 13:08:11 +0000 2016,priyasharma4211,"I'm really impressed with the Go Cross fluid character lines on the back. It beautiful #DatsunPavilion #AETMS2016
",Others
Fri Feb 05 13:08:16 +0000 2016,MrFukra,Follow @DatsunIndia to get updates from the #DatsunPavilion #AETMS2016. Say YES to heritage and Say YES to Datsun.,Advertisement
Fri Feb 05 13:08:17 +0000 2016,sandip217055,RT @autocarindiamag: .@TataMotors unveiled the #Hexa in production-ready guise at #AutoExpo2016. First look video  h…,Technology
Fri Feb 05 13:08:22 +0000 2016,sagpriya1405,"RT @Sag_Mart: #Motormind Hyperion1 Roadster concept displayed at #AutoExpo2016 . @ 
#AETMS2016 @MOTORMIND .…",Technology
Fri Feb 05 13:08:27 +0000 2016,sagpriya1405,"RT @Sag_Mart: Delhi #AutoExpo2016 : #EicherTrucks and #Buses launch details. @ 
#AETMS2016 #Eicher ",Advertisement
Fri Feb 05 13:08:35 +0000 2016,prithvi1983,"#HondaBRV comes to India, here is all you need to know  @oncarsin @HondaCarIndia @AutoExpo2016",Others
Fri Feb 05 13:08:37 +0000 2016,sagpriya1405,"RT @Sag_Mart: HYPERION1, 1st concept #car by @motormindindia  finally unveiled #AutoExpo2016 #AETMS2016 #cars #AutoExpo ",Technology
Fri Feb 05 13:08:39 +0000 2016,MylesCars,RT @KamalahasanTN: @AutoExpo2016 #AutoExpo2016 #AutoExpo #MylerAtExpo - An awesome to start with @burnyourfuel ,Others
Fri Feb 05 13:08:39 +0000 2016,priyasharma4211,Large 5-spoke alloy wheels and distinctive LED lights at front &amp; rear completes GO+ #AETMS2016 #DatsunPavilion ,Technology
Fri Feb 05 13:08:44 +0000 2016,MrFukra,The GO-cross Concept is designed for the new generation of drivers #DatsunPavilion #AETMS2016 @DatsunIndia ,Technology
Fri Feb 05 13:08:58 +0000 2016,MylesCars,RT @burnyourfuel: @AutoExpo2016 #AutoExpo2016 #AutoExpo #MylerAtExpo - An awesome to start ,Others
Fri Feb 05 13:09:01 +0000 2016,ShriBhivaskar,.@SoDelhi Here's a sneak peek of the 360 degree view of @FordIndia pavilion at the Delhi Auto Expo:   #FordAtAutoExpo,Advertisement
Fri Feb 05 13:09:06 +0000 2016,ns_verma,Have a look at the #DatsunPavilion to Follow @DatsunIndia for updates live from #AutoExpo2016  …,Advertisement
Fri Feb 05 13:09:07 +0000 2016,nikimalik08,RT @nikhilchinapa: Woof! #AutoExpo2016  ,Others
Fri Feb 05 13:09:16 +0000 2016,MrFukra,Bluebird 1600 SSS (510) represents the glory of Datsun. #DatsunPavilion #AETMS2016 @DatsunIndia. wow what a machine!,Automobile
Fri Feb 05 13:09:28 +0000 2016,TheQuint,"The new Toyota Innova Crysta at #AutoExpo2016 , prices to be revealed soon. ",Business
Fri Feb 05 13:09:39 +0000 2016,SouLSteer,"@honda2wheelerin Navi launched for Rs. 39,500 at #AutoExpo2016 #scooter 

 ",Business
Fri Feb 05 13:09:47 +0000 2016,sumitsingh_007,"Entered into the Hero pavilion of Auto Expo 2016, where innovation and nature co-exist in harmony #herogreenovation ",Technology
Fri Feb 05 13:09:49 +0000 2016,MylesCars,RT @rushlane: .@HondaCarIndia #Jazz Racing Concept @AutoExpo2016 -  #AETMS2016 #AutoExpo2016 #MylerAtExpo .…,Technology
Fri Feb 05 13:09:55 +0000 2016,Sarwar_Connects,Here you go #AllNewBMWX1 has caught everyone’s attention at Auto Expo 2016. Check   and see all the updates.,Advertisement
Fri Feb 05 13:10:00 +0000 2016,ShriBhivaskar,RT @SoDelhi: Experience the grandeur of @FordIndia's pavilion at the Delhi Auto Expo 2016:  #FordAtAutoExpo,Advertisement
Fri Feb 05 13:10:03 +0000 2016,gaadifix,"As the curtains rise from Auto Expo – The Motor Show, we hope to see you all at Hall No. 2, Stall E1T. #AutoExpo2016 #GaadiFix #AETMS16",Advertisement
Fri Feb 05 13:10:05 +0000 2016,ToneyYadav,RT @ankitv: Tata Zica deconstructed in this crazy transformer like installation. #AutoExpo2016 #Gadget…  …,Automobile
Fri Feb 05 13:10:06 +0000 2016,gaadifix,"As the curtains have risen from Auto Expo –The Motor Show, we hope to see you tomorrow at Hall No. 2, Stall E1T. #AutoExpo2016 #GaadiFix",Advertisement
Fri Feb 05 13:10:13 +0000 2016,apooravgilotra,When inside Mercedes Maybach S 600 ? #AutoExpo2016 #Mercedes ,Automobile
Fri Feb 05 13:10:16 +0000 2016,NoidaNews,Greater Noida as Auto Expo venue gets thumbs up -  -  #Noida #News,Advertisement
Fri Feb 05 13:10:34 +0000 2016,MrFukra,@DatsunIndia is all set to inspire young strivers &amp; help them achieve their dreams #DatsunPavilion at #AETMS2016,Advertisement
Fri Feb 05 13:10:37 +0000 2016,mahimas508,RT @bmwindia: The young generation loves them too! #FutureOfLuxury #AutoExpo2016 ,Others
Fri Feb 05 13:10:41 +0000 2016,kiscafe18,Auto Expo 2016 | Podcast #01: What To Expect | Autocar India | Presented By Kotak…  ,Advertisement
Fri Feb 05 13:10:45 +0000 2016,DrivesparkMa,?????? ?????????: ??? ?????????? ????? ??????  #Toyota,Others
Fri Feb 05 13:10:47 +0000 2016,sumitsingh_007,Admiring the new Hero Glamour at Auto Expo #greenovation ,Automobile
Fri Feb 05 13:10:48 +0000 2016,mytruxtransport,Get the Latest and the Quickest News &amp; Updates of Trucks Launching in #AutoExpo2016 only on  ,Advertisement
Fri Feb 05 13:10:49 +0000 2016,Mimoh_Li,,Others
Fri Feb 05 13:11:00 +0000 2016,jollymampilly,"CNG motorcycle, redesigned Mumbai local, restyled Bajaj Chetak: IIT-Bombay's ...  ",Automobile
Fri Feb 05 13:11:03 +0000 2016,QuikrCars,"Meet #MahindraXUVAero, the prime showstopper at the #AutoExpo2016 ",Advertisement
Fri Feb 05 13:11:05 +0000 2016,KaranKundnani9,"RT @SoDelhi: Besides exclusive passes for the Auto Expo, we're also giving 5 Flipkart vouchers! Any takers? Join us today at 5PM! #FordAtAu…",Business
Fri Feb 05 13:11:06 +0000 2016,lr_musthaqueem,@DatsunIndia  has brought the great GO Cross concept to India at the #AETMS2016 #DatsunPavilion ,Technology
Fri Feb 05 13:11:10 +0000 2016,nazim24411,"RT @SoDelhi: Besides exclusive passes for the Auto Expo, we're also giving 5 Flipkart vouchers! Any takers? Join us today at 5PM! #FordAtAu…",Business
